experiment,gene,matched_mock_rs,RPF_repression,score_percentile,rpf_decreased,quartile
U2OS_miR155,OPHN1,0.0983072370290756,0.992964608,0.6140350877192983,True,Q3
U2OS_miR155,TENM3,0.0982399210333824,0.363778443,0.5964912280701754,True,Q3
U2OS_miR155,FBXO9,0.0966601520776748,0.317553148,0.5789473684210527,True,Q3
U2OS_miR155,ADGRL3,0.0958918631076812,1.865288993,0.5614035087719298,True,Q3
U2OS_miR155,FXR1,0.0924397483468055,-0.147351332,0.543859649122807,False,Q3
U2OS_miR155,PIK3R1,0.0923830345273017,0.454947442,0.5263157894736842,True,Q3
U2OS_miR155,MYO10,0.0917396694421768,0.775625244,0.5087719298245614,True,Q2
U2OS_miR155,SLC5A3,0.0891363695263862,1.881055313,0.4912280701754385,True,Q2
U2OS_miR155,KDM5B,0.0891242921352386,-0.018161704,0.4736842105263157,False,Q2
U2OS_miR155,PEA15,0.0890449285507202,0.03173752,0.4561403508771929,True,Q2
U2OS_miR155,NEO1,0.0882453098893165,0.5093088370000001,0.4385964912280701,True,Q2
U2OS_miR155,SLFN5,0.0874285027384758,0.402105664,0.4210526315789473,True,Q2
U2OS_miR155,SNTB2,0.086792878806591,0.396011906,0.4035087719298245,True,Q2
U2OS_miR155,TBC1D20,0.0855642333626747,0.86507042,0.3859649122807017,True,Q2
U2OS_miR155,CLCN5,0.0850503891706466,0.422620375,0.3684210526315789,True,Q2
U2OS_miR155,CNOT7,0.0845028758049011,-0.2230152329999999,0.3508771929824561,False,Q2
U2OS_miR155,SP1,0.0813967436552047,0.234281095,0.3333333333333333,True,Q2
U2OS_miR155,UTP23,0.0798300430178642,-0.808200499,0.3157894736842105,False,Q2
U2OS_miR155,BNC2,0.0797044187784195,0.2000916959999999,0.2982456140350877,True,Q2
U2OS_miR155,C14orf119,0.0781027600169181,-0.464109533,0.2807017543859649,False,Q2
U2OS_miR155,ZBTB20,0.0770075693726539,0.0362469899999999,0.2631578947368421,True,Q1
U2OS_miR155,CARHSP1,0.0752269700169563,0.463126102,0.2456140350877192,True,Q1
U2OS_miR155,ZNF445,0.075067825615406,-0.150435359,0.2280701754385964,False,Q1
U2OS_miR155,RREB1,0.0748771205544471,0.697561547,0.2105263157894736,True,Q1
U2OS_miR155,AAK1,0.0741736516356468,0.182474282,0.1929824561403508,True,Q1
U2OS_miR155,PHC2,0.0740077942609787,0.827606541,0.175438596491228,True,Q1
U2OS_miR155,GATAD2B,0.0708202421665191,0.181076831,0.1578947368421052,True,Q1
U2OS_miR155,SORT1,0.0679182484745979,0.789681537,0.1403508771929824,True,Q1
U2OS_miR155,IGF2R,0.0673185735940933,0.551701372,0.1228070175438596,True,Q1
U2OS_miR155,PML,0.0665227770805358,-0.282702431,0.1052631578947368,False,Q1
U2OS_miR155,TSPAN14,0.066415250301361,1.068864004,0.087719298245614,True,Q1
