dataset	gene	UTRPRISM	Sequence-only	Zero coverage	miRanda	tg_repression	wt_mean
GSE83684	Mxd4	0.0681389053281412	0.0268794209846642	0.0799113440788023	0.1220121313394039	0.2210116235459125	19.589
GSE83684	Mylip	0.1146020347097546	0.1319569120287253	0.1292639138240574	0.0923099940155595	0.0463956206683153	10.1014
GSE83684	Naa60	0.0652304009575104	0.0771992818671454	0.0502692998204667	0.1229802513464991	0.5350973988804748	11.404
GSE83684	Nabp1	0.2828319499495218	0.3028375531098368	0.0387032496672087	0.2680581734028921	-0.3021902066421402	19.9197
GSE83684	Nadk2	0.1439257929383602	0.0984440454817474	0.1555954518252543	0.0923099940155595	0.0205316978878657	17.6122
GSE83684	Ndufs2	0.1642728904847396	0.1642728904847396	0.1648713345302214	0.0435368043087971	-0.3344905930419894	100.942
GSE83684	Ndufs6	0.0789026094481218	0.1145365539900966	0.0021202491251278	0.2570379340584287	0.6089493332432294	294.868
GSE83684	Nfat5	0.1597845601436265	0.1612806702573309	0.163375224416517	0.0788450029922202	0.1011407652391978	11.7866
GSE83684	Nif3l1	0.0945541591861161	0.1205864751645721	0.0652304009575104	0.0788450029922202	-0.1235706984893183	15.7276
GSE83684	Notch2	0.1089880990864196	0.1039353083644574	0.1170331100357906	0.0671119355603409	0.0728790975409676	45.7114
GSE83684	Npat	0.1400359066427289	0.1220825852782764	0.1490125673249551	0.0176540993417115	0.7272813954893187	14.2815
GSE83684	Nsun2	0.1050269299820466	0.1074207061639736	0.1346499102333931	0.1035308198683423	0.094187302134479	66.6821
GSE83684	Nub1	0.1020347097546379	0.1193895870736086	0.1475164572112507	0.0712148414123279	-0.0614690615073882	45.3466
GSE83684	Nucks1	0.1098144823459006	0.0206463195691202	0.0200478755236385	0.0070317175344105	0.2513730212698331	48.9014
GSE83684	Nudcd2	0.165769000598444	0.1582884500299222	0.165769000598444	0.0978456014362657	0.1636690196508574	24.2599
GSE83684	Nudt21	0.1563924069792081	0.2168696020696383	0.0873128698069843	0.1359227681180681	0.0510496005015603	120.166
GSE83684	Nudt5	0.1464204304762673	0.130200803752939	0.097838877345867	0.147169045873986	0.1715447282241182	62.9647
GSE83684	Nufip2	0.1379413524835428	0.1382405745062836	0.1561938958707361	0.0243865948533812	-0.3580719512323411	10.3229
GSE83684	Numa1	0.1277678037103531	0.1430281268701376	0.139736684619988	0.0330640335128665	-0.7374397772938392	25.0003
GSE83684	Nup153	0.1077199281867145	0.1340514661879114	0.0748055056852184	0.0330640335128665	-0.0975033688034168	41.8618
GSE83684	Nvl	0.0182102710238697	0.0334026268543891	0.1093130160751022	0.2647704610671533	0.1367192273074469	39.7835
GSE83684	Oas1a	0.2870724481997775	0.2730769804602217	0.2520369477032845	0.1220121313394039	-0.9861782379835852	11.4109
GSE83684	Ogt	0.4779494055509783	0.4713376734765777	0.4645173951629748	0.193158678067246	0.4483961438598136	47.7545
GSE83684	Ola1	0.2174117377919901	0.2666648431529546	0.2685886501191086	0.2570379340584287	0.4182278790973228	96.4351
GSE83684	Opa1	0.0682226211849192	0.0697187312986235	0.0924596050269299	0.119539198084979	-0.117200079524276	10.1043
